tick,x,y
97,2.633371,15.01999
98,2.6765764,15.036379
99,2.6315722,15.013405
100,2.6219466,15.014597
101,2.6675396,15.019973
102,2.6573641,15.018922
103,2.6348097,15.035924
104,2.6726563,15.023737
105,2.663889,15.044152
106,2.4235594,15.034169
107,2.4319139,14.981179
108,2.4020457,14.93069
109,2.299369,15.007552
110,2.3341722,15.067395
111,2.035037,15.083411
112,2.0496058,15.060388
113,2.1110203,15.064143
114,2.1081169,15.072873
115,2.091337,15.07426
116,2.1431038,15.100732
117,2.1194224,15.094534
118,2.1623473,15.085726
119,2.0984225,15.077151
120,2.128438,15.066965
121,2.1412961,15.080054
122,2.1812797,15.057746
123,2.1675568,15.077228
124,2.2075267,15.090055
125,2.1964538,15.093332
126,2.1145246,15.105015
127,2.0755136,15.096066
128,2.0774693,15.096203
129,2.059239,15.095835
130,2.058759,15.096302
131,1.9140675,15.09532
132,2.0162857,15.00841
133,2.0157387,15.014251
134,2.0590436,15.009123
135,2.0649824,15.048871
136,2.0816426,15.028566
137,2.0860786,15.034202
138,2.0990028,15.045288
139,2.1369152,15.043851
140,2.1220214,15.052835
141,2.1491342,15.037038
142,2.170167,15.056287
143,2.1088285,15.045643
144,1.9783527,15.046534
145,2.0147004,15.064802
146,1.9591973,15.062998
147,2.0211565,15.054798
148,2.0712752,15.079439
149,2.097437,15.090725
150,2.1211977,15.101614
151,2.1364896,15.103956
152,2.127579,15.094652
153,2.1463544,15.094792
154,2.1413572,15.109138
155,2.144505,15.092092
156,2.1701353,15.100833
157,2.176717,15.08871
158,2.1940894,15.094432
159,2.1946874,15.097071
160,2.1755283,15.105366
161,2.164477,15.087691
162,2.172372,15.101862
163,2.182655,15.101732
164,2.157486,15.095333
165,2.2005835,15.115046
166,2.1867025,15.109312
167,2.1777248,15.091593
168,2.1950417,15.07727
169,2.1486118,15.118405
170,2.1970904,15.090912
171,2.1984634,15.114797
172,2.1907744,15.112909
173,2.1957657,15.114924
174,2.2137945,15.136212
175,2.219226,15.100593
176,2.2033117,15.10858
177,2.2191048,15.097033
178,2.212763,15.09686
179,2.2135699,15.090902
180,2.2211127,15.116336
181,2.229144,15.1118145
182,2.2064052,15.090991
183,2.209234,15.107606
184,2.2314792,15.105621
185,2.2419727,15.116332
186,2.2031987,15.114962
187,2.251807,15.116156
188,2.1996803,15.103387
189,2.052458,15.133362
190,1.9896435,15.192488
191,2.2872496,15.092862
192,2.1879945,15.088645
193,2.0192869,15.177607
194,2.2842185,15.125883
195,2.0375123,15.173179
